match_id,tournament_id,group_id,match_name,stage_name,replay,match_date,match_time,stadium_id,home_team_id,away_team_id,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties
M-2014-05,WC-2014,126.0,Colombia vs Greece,group stage,0,2014-06-14,13:00,S-008,T-16,T-33,3,0,0,0,0,0
M-2014-06,WC-2014,127.0,Uruguay vs Costa Rica,group stage,0,2014-06-14,16:00,S-013,T-84,T-17,1,3,0,0,0,0
M-2014-07,WC-2014,127.0,England vs Italy,group stage,0,2014-06-14,18:00,S-014,T-28,T-41,1,2,0,0,0,0
M-2014-08,WC-2014,126.0,Ivory Coast vs Japan,group stage,0,2014-06-14,22:00,S-018,T-42,T-44,2,1,0,0,0,0
M-2014-09,WC-2014,128.0,Switzerland vs Ecuador,group stage,0,2014-06-15,13:00,S-009,T-75,T-25,2,1,0,0,0,0
M-2014-10,WC-2014,128.0,France vs Honduras,group stage,0,2014-06-15,16:00,S-016,T-30,T-35,3,0,0,0,0,0
M-2014-11,WC-2014,129.0,Argentina vs Bosnia and Herzegovina,group stage,0,2014-06-15,19:00,S-020,T-03,T-08,2,1,0,0,0,0
M-2014-12,WC-2014,130.0,Germany vs Portugal,group stage,0,2014-06-16,13:00,S-021,T-31,T-58,4,0,0,0,0,0
M-2014-13,WC-2014,129.0,Iran vs Nigeria,group stage,0,2014-06-16,16:00,S-011,T-38,T-50,0,0,0,0,0,0
M-2014-14,WC-2014,130.0,Ghana vs United States,group stage,0,2014-06-16,19:00,S-015,T-32,T-83,1,2,0,0,0,0
M-2014-15,WC-2014,131.0,Belgium vs Algeria,group stage,0,2014-06-17,13:00,S-008,T-06,T-01,2,1,0,0,0,0
M-2014-16,WC-2014,124.0,Brazil vs Mexico,group stage,0,2014-06-17,16:00,S-013,T-09,T-46,0,0,0,0,0,0
M-2014-17,WC-2014,131.0,Russia vs South Korea,group stage,0,2014-06-17,18:00,S-010,T-62,T-71,1,1,0,0,0,0
M-2014-18,WC-2014,125.0,Australia vs Netherlands,group stage,0,2014-06-18,13:00,S-016,T-04,T-48,2,3,0,0,0,0
M-2014-19,WC-2014,125.0,Spain vs Chile,group stage,0,2014-06-18,16:00,S-020,T-73,T-13,0,2,0,0,0,0
M-2014-20,WC-2014,124.0,Cameroon vs Croatia,group stage,0,2014-06-18,18:00,S-014,T-11,T-18,0,4,0,0,0,0
M-2014-21,WC-2014,126.0,Colombia vs Ivory Coast,group stage,0,2014-06-19,13:00,S-009,T-16,T-42,2,1,0,0,0,0
M-2014-22,WC-2014,127.0,Uruguay vs England,group stage,0,2014-06-19,16:00,S-022,T-84,T-28,2,1,0,0,0,0
M-2014-23,WC-2014,126.0,Japan vs Greece,group stage,0,2014-06-19,19:00,S-015,T-44,T-33,0,0,0,0,0,0
M-2014-24,WC-2014,127.0,Italy vs Costa Rica,group stage,0,2014-06-20,13:00,S-018,T-41,T-17,0,1,0,0,0,0
