player_appointment_id,tournament_id,team_id,player_id,shirt_number
PA-6502,WC-1998,T-38,P-36676,3
PA-6503,WC-1998,T-38,P-52257,4
PA-6504,WC-1998,T-38,P-91754,5
PA-6505,WC-1998,T-38,P-72482,6
PA-6506,WC-1998,T-38,P-62874,7
PA-6507,WC-1998,T-38,P-44661,8
PA-6508,WC-1998,T-38,P-78085,9
PA-6509,WC-1998,T-38,P-38371,10
PA-6510,WC-1998,T-38,P-25470,11
PA-6511,WC-1998,T-38,P-68937,12
PA-6512,WC-1998,T-38,P-54946,13
PA-6513,WC-1998,T-38,P-31741,14
PA-6514,WC-1998,T-38,P-55250,15
PA-6515,WC-1998,T-38,P-92960,16
PA-6516,WC-1998,T-38,P-65077,17
PA-6517,WC-1998,T-38,P-90057,18
PA-6518,WC-1998,T-38,P-11493,19
PA-6519,WC-1998,T-38,P-06693,20
PA-6520,WC-1998,T-38,P-32369,21
PA-6521,WC-1998,T-38,P-00315,22
PA-6522,WC-1998,T-41,P-53723,1
PA-6523,WC-1998,T-41,P-29143,2
PA-6524,WC-1998,T-41,P-43222,3
PA-6525,WC-1998,T-41,P-88863,4
PA-6526,WC-1998,T-41,P-36036,5
PA-6527,WC-1998,T-41,P-55511,6
PA-6528,WC-1998,T-41,P-74039,7
PA-6529,WC-1998,T-41,P-39112,8
PA-6530,WC-1998,T-41,P-87231,9
PA-6531,WC-1998,T-41,P-83836,10
PA-6532,WC-1998,T-41,P-52474,11
PA-6533,WC-1998,T-41,P-88002,12
PA-6534,WC-1998,T-41,P-98757,13
PA-6535,WC-1998,T-41,P-42659,14
PA-6536,WC-1998,T-41,P-59777,15
PA-6537,WC-1998,T-41,P-07951,16
PA-6538,WC-1998,T-41,P-69680,17
PA-6539,WC-1998,T-41,P-78756,18
PA-6540,WC-1998,T-41,P-29172,19
PA-6541,WC-1998,T-41,P-35079,20
PA-6542,WC-1998,T-41,P-34670,21
PA-6543,WC-1998,T-41,P-11392,22
PA-6544,WC-1998,T-43,P-65816,1
PA-6545,WC-1998,T-43,P-06565,2
PA-6546,WC-1998,T-43,P-61134,3
PA-6547,WC-1998,T-43,P-40167,4
PA-6548,WC-1998,T-43,P-51917,5
PA-6549,WC-1998,T-43,P-62344,6
PA-6550,WC-1998,T-43,P-49195,7
PA-6551,WC-1998,T-43,P-44917,8
PA-6552,WC-1998,T-43,P-45682,9
PA-6553,WC-1998,T-43,P-97544,10
PA-6554,WC-1998,T-43,P-19136,11
PA-6555,WC-1998,T-43,P-93008,12
PA-6556,WC-1998,T-43,P-98909,13
PA-6557,WC-1998,T-43,P-99080,14
PA-6558,WC-1998,T-43,P-79750,15
PA-6559,WC-1998,T-43,P-16421,16
PA-6560,WC-1998,T-43,P-89092,17
PA-6561,WC-1998,T-43,P-36985,18
PA-6562,WC-1998,T-43,P-99905,19
PA-6563,WC-1998,T-43,P-41974,20
PA-6564,WC-1998,T-43,P-27847,21
PA-6565,WC-1998,T-43,P-15931,22
PA-6566,WC-1998,T-44,P-02366,1
PA-6567,WC-1998,T-44,P-45752,2
PA-6568,WC-1998,T-44,P-61672,3
PA-6569,WC-1998,T-44,P-29629,4
PA-6570,WC-1998,T-44,P-43163,5
PA-6571,WC-1998,T-44,P-03376,6
PA-6572,WC-1998,T-44,P-23890,7
PA-6573,WC-1998,T-44,P-09349,8
PA-6574,WC-1998,T-44,P-84762,9
PA-6575,WC-1998,T-44,P-33594,10
PA-6576,WC-1998,T-44,P-04785,11
PA-6577,WC-1998,T-44,P-58318,12
PA-6578,WC-1998,T-44,P-64961,13
PA-6579,WC-1998,T-44,P-07585,14
PA-6580,WC-1998,T-44,P-17348,15
PA-6581,WC-1998,T-44,P-10510,16
PA-6582,WC-1998,T-44,P-34956,17
PA-6583,WC-1998,T-44,P-55311,18
PA-6584,WC-1998,T-44,P-36022,19
PA-6585,WC-1998,T-44,P-54298,20
PA-6586,WC-1998,T-44,P-24251,21
PA-6587,WC-1998,T-44,P-99803,22
PA-6588,WC-1998,T-46,P-50787,1
PA-6589,WC-1998,T-46,P-78308,2
PA-6590,WC-1998,T-46,P-26108,3
PA-6591,WC-1998,T-46,P-72763,4
PA-6592,WC-1998,T-46,P-83344,5
PA-6593,WC-1998,T-46,P-40627,6
PA-6594,WC-1998,T-46,P-21741,7
PA-6595,WC-1998,T-46,P-21495,8
PA-6596,WC-1998,T-46,P-50252,9
PA-6597,WC-1998,T-46,P-46904,10
PA-6598,WC-1998,T-46,P-88428,11
PA-6599,WC-1998,T-46,P-92932,12
PA-6600,WC-1998,T-46,P-34636,13
PA-6601,WC-1998,T-46,P-35791,14
PA-6602,WC-1998,T-46,P-45941,15
PA-6603,WC-1998,T-46,P-99771,16
PA-6604,WC-1998,T-46,P-80183,17
PA-6605,WC-1998,T-46,P-32594,18
PA-6606,WC-1998,T-46,P-19578,19
PA-6607,WC-1998,T-46,P-77010,20
PA-6608,WC-1998,T-46,P-92547,21
PA-6609,WC-1998,T-46,P-52784,22
PA-6610,WC-1998,T-47,P-62026,1
PA-6611,WC-1998,T-47,P-16954,2
PA-6612,WC-1998,T-47,P-19991,3
PA-6613,WC-1998,T-47,P-66082,4
PA-6614,WC-1998,T-47,P-77110,5
PA-6615,WC-1998,T-47,P-96824,6
PA-6616,WC-1998,T-47,P-45896,7
PA-6617,WC-1998,T-47,P-76158,8
PA-6618,WC-1998,T-47,P-14349,9
PA-6619,WC-1998,T-47,P-56643,10
PA-6620,WC-1998,T-47,P-80057,11
PA-6621,WC-1998,T-47,P-20094,12
PA-6622,WC-1998,T-47,P-36579,13
PA-6623,WC-1998,T-47,P-87059,14
PA-6624,WC-1998,T-47,P-51300,15
PA-6625,WC-1998,T-47,P-84885,16
PA-6626,WC-1998,T-47,P-28649,17
PA-6627,WC-1998,T-47,P-78077,18
PA-6628,WC-1998,T-47,P-32237,19
PA-6629,WC-1998,T-47,P-82124,20
PA-6630,WC-1998,T-47,P-03706,21
PA-6631,WC-1998,T-47,P-89078,22
PA-6632,WC-1998,T-48,P-26572,1
PA-6633,WC-1998,T-48,P-27926,2
PA-6634,WC-1998,T-48,P-46061,3
PA-6635,WC-1998,T-48,P-32212,4
PA-6636,WC-1998,T-48,P-92458,5
PA-6637,WC-1998,T-48,P-27957,6
PA-6638,WC-1998,T-48,P-92804,7
PA-6639,WC-1998,T-48,P-22409,8
PA-6640,WC-1998,T-48,P-59191,9
PA-6641,WC-1998,T-48,P-88946,10
PA-6642,WC-1998,T-48,P-42224,11
PA-6643,WC-1998,T-48,P-34767,12
PA-6644,WC-1998,T-48,P-96131,13
PA-6645,WC-1998,T-48,P-33834,14
PA-6646,WC-1998,T-48,P-76156,15
PA-6647,WC-1998,T-48,P-45916,16
PA-6648,WC-1998,T-48,P-88340,17
PA-6649,WC-1998,T-48,P-15829,18
PA-6650,WC-1998,T-48,P-21832,19
PA-6651,WC-1998,T-48,P-42249,20
PA-6652,WC-1998,T-48,P-30015,21
PA-6653,WC-1998,T-48,P-55197,22
PA-6654,WC-1998,T-50,P-75277,1
PA-6655,WC-1998,T-50,P-01364,2
PA-6656,WC-1998,T-50,P-91148,3
PA-6657,WC-1998,T-50,P-91516,4
PA-6658,WC-1998,T-50,P-74808,5
PA-6659,WC-1998,T-50,P-79669,6
PA-6660,WC-1998,T-50,P-54287,7
PA-6661,WC-1998,T-50,P-56969,8
PA-6662,WC-1998,T-50,P-98228,9
PA-6663,WC-1998,T-50,P-83122,10
PA-6664,WC-1998,T-50,P-76542,11
PA-6665,WC-1998,T-50,P-79585,12
PA-6666,WC-1998,T-50,P-02360,13
PA-6667,WC-1998,T-50,P-84893,14
PA-6668,WC-1998,T-50,P-41790,15
PA-6669,WC-1998,T-50,P-34180,16
PA-6670,WC-1998,T-50,P-39450,17
PA-6671,WC-1998,T-50,P-89782,18
PA-6672,WC-1998,T-50,P-72134,19
PA-6673,WC-1998,T-50,P-25715,20
PA-6674,WC-1998,T-50,P-71220,21
PA-6675,WC-1998,T-50,P-35031,22
PA-6676,WC-1998,T-53,P-14379,1
PA-6677,WC-1998,T-53,P-83152,2
PA-6678,WC-1998,T-53,P-65348,3
PA-6679,WC-1998,T-53,P-25644,4
PA-6680,WC-1998,T-53,P-52878,5
PA-6681,WC-1998,T-53,P-75062,6
PA-6682,WC-1998,T-53,P-48934,7
PA-6683,WC-1998,T-53,P-61579,8
PA-6684,WC-1998,T-53,P-03442,9
PA-6685,WC-1998,T-53,P-72296,10
PA-6686,WC-1998,T-53,P-31031,11
PA-6687,WC-1998,T-53,P-99616,12
PA-6688,WC-1998,T-53,P-31312,13
PA-6689,WC-1998,T-53,P-86211,14
PA-6690,WC-1998,T-53,P-59890,15
PA-6691,WC-1998,T-53,P-94465,16
PA-6692,WC-1998,T-53,P-99732,17
PA-6693,WC-1998,T-53,P-94822,18
PA-6694,WC-1998,T-53,P-25187,19
PA-6695,WC-1998,T-53,P-63924,20
PA-6696,WC-1998,T-53,P-35373,21
PA-6697,WC-1998,T-53,P-21663,22
PA-6698,WC-1998,T-55,P-36426,1
PA-6699,WC-1998,T-55,P-76678,2
PA-6700,WC-1998,T-55,P-14942,3
PA-6701,WC-1998,T-55,P-19241,4
PA-6702,WC-1998,T-55,P-34957,5
PA-6703,WC-1998,T-55,P-11212,6
PA-6704,WC-1998,T-55,P-74664,7
PA-6705,WC-1998,T-55,P-03217,8
PA-6706,WC-1998,T-55,P-98051,9
PA-6707,WC-1998,T-55,P-17884,10
PA-6708,WC-1998,T-55,P-50567,11
PA-6709,WC-1998,T-55,P-75402,12
PA-6710,WC-1998,T-55,P-42797,13
PA-6711,WC-1998,T-55,P-08196,14
PA-6712,WC-1998,T-55,P-40108,15
PA-6713,WC-1998,T-55,P-52469,16
PA-6714,WC-1998,T-55,P-73933,17
PA-6715,WC-1998,T-55,P-34676,18
PA-6716,WC-1998,T-55,P-22146,19
PA-6717,WC-1998,T-55,P-82458,20
PA-6718,WC-1998,T-55,P-78557,21
PA-6719,WC-1998,T-55,P-83261,22
PA-6720,WC-1998,T-61,P-75836,1
PA-6721,WC-1998,T-61,P-12625,2
PA-6722,WC-1998,T-61,P-65453,3
PA-6723,WC-1998,T-61,P-06854,4
PA-6724,WC-1998,T-61,P-17898,5
PA-6725,WC-1998,T-61,P-19537,6
PA-6726,WC-1998,T-61,P-01137,7
